Year,Name,Number,Rank
1928,ALEXANDER,29,32
1928,ALFRED,29,32
1928,ALLAN,28,34
1928,HERBERT,27,35
1928,HENRY,25,36
1928,GERALD,24,37
1928,LEONARD,24,37
1928,RALPH,21,39
1928,CLIFFORD,20,40
1928,VICTOR,20,40
1928,LAWRENCE,19,42
1928,ALAN,18,43
1928,EDWIN,18,43
1928,LESLIE,17,45
1928,PHILIP,17,45
1928,LOUIS,16,47
1928,HUGH,15,48
1928,WILFRED,15,48
1928,BRUCE,14,50
1928,CARL,14,50
1928,LORNE,14,50
1928,MAURICE,14,50
1928,PATRICK,14,50
1928,PAUL,14,50
1928,HARVEY,13,56
1928,HOWARD,13,56
1928,LLOYD,13,56
1928,SHOJI,13,56
1928,CLARENCE,12,60
1928,ERIC,12,60
1928,HIROSHI,12,60
1928,MICHAEL,12,60
1928,REGINALD,12,60
1928,SIDNEY,12,60
1928,AKIRA,11,66
1928,DANIEL,11,66
1928,EARL,11,66
1928,EUGENE,11,66
1928,GLEN,10,70
1928,IAN,10,70
1928,KIYOSHI,10,70
1928,MIKE,10,70
1928,SAMUEL,10,70
1928,ANDREW,9,75
1928,BRIAN,9,75
1928,CYRIL,9,75
1928,FREDRICK,9,75
1928,GILBERT,9,75
1928,KAZUO,9,75
1928,MARTIN,9,75
1928,WALLACE,9,75
1928,ALVIN,8,83
1928,BERNARD,8,83
1928,DENNIS,8,83
1928,FRED,8,83
1928,LAURENCE,8,83
1928,MILTON,8,83
1928,MINORU,8,83
1928,NEIL,8,83
1928,ROLAND,8,83
1928,ALLEN,7,92
1928,BENJAMIN,7,92
1928,EDMUND,7,92
1928,ISAMU,7,92
1928,TERUO,7,92
1928,ANTHONY,6,97
1928,ARCHIBALD,6,97
1928,ARNOLD,6,97
1928,CECIL,6,97
1928,DENIS,6,97
1928,EDGAR,6,97
1928,MALCOLM,6,97
1928,NOBORU,6,97
1928,VERNON,6,97
1928,YOSHIO,6,97
1928,ALEX,5,107
1928,ANGUS,5,107
1928,EARLE,5,107
1928,ELMER,5,107
1928,FRANKLIN,5,107
1928,IVAN,5,107
1928,LYLE,5,107
1928,RODERICK,5,107
1928,RUSSELL,5,107
1928,SHOICHI,5,107
1928,STEPHEN,5,107
1928,TAKASHI,5,107
1928,THEODORE,5,107
1928,TOSHIO,5,107
1928,YUKIO,5,107
1929,WILLIAM,284,1
1929,JOHN,283,2
1929,ROBERT,220,3
1929,JAMES,150,4
1929,GEORGE,143,5
1929,DONALD,119,6
